,cdf,batch_execution_time
0,0.0,2.8209963099515974e-07
1,0.01,2.8209963099515974e-07
2,0.02,2.8209963099515974e-07
3,0.03,2.8209963099515974e-07
4,0.04,2.8209963099515974e-07
5,0.05,2.8209963099515974e-07
6,0.06,2.8209963099515974e-07
7,0.07,2.8209963099515974e-07
8,0.08,2.8209963099515974e-07
9,0.09,2.8209963099515974e-07
10,0.1,2.8209963099515974e-07
11,0.11,2.8209963099515974e-07
12,0.12,2.8209963099515974e-07
13,0.13,2.8209963099515974e-07
14,0.14,2.8209963099515974e-07
15,0.15,2.8209963099515974e-07
16,0.16,2.8209963099515974e-07
17,0.17,2.8209963099515974e-07
18,0.18,2.8209963099515974e-07
19,0.19,2.8209963099515974e-07
20,0.2,2.8209963099515974e-07
21,0.21,2.8209963099515974e-07
22,0.22,2.8209963099515974e-07
23,0.23,2.8209963099515974e-07
24,0.24,2.8209963099515974e-07
25,0.25,2.8209963099515974e-07
26,0.26,2.8209963099515974e-07
27,0.27,2.8209963099515974e-07
28,0.28,2.8209963099515974e-07
29,0.29,2.8209963099515974e-07
30,0.3,2.8209963099515974e-07
31,0.31,2.8209963099515974e-07
32,0.32,2.8209963099515974e-07
33,0.33,2.8209963099515974e-07
34,0.34,2.8209963099515974e-07
35,0.35000000000000003,2.8209963099515974e-07
36,0.36,2.8209963099515974e-07
37,0.37,2.8209963099515974e-07
38,0.38,2.8209963099515974e-07
39,0.39,2.8209963099515974e-07
40,0.4,2.8209963099515974e-07
41,0.41000000000000003,2.8209963099515974e-07
42,0.42,2.8209963099515974e-07
43,0.43,2.8209963099515974e-07
44,0.44,2.8209963099515974e-07
45,0.45,2.8209963099515974e-07
46,0.46,2.8209963099515974e-07
47,0.47000000000000003,2.8209963099515974e-07
48,0.48,2.8209963099515974e-07
49,0.49,2.8209963099515974e-07
50,0.5,2.8209963099515974e-07
51,0.51,2.8209963099515974e-07
52,0.52,2.8209963099515974e-07
53,0.53,2.8209963099515974e-07
54,0.54,2.8209963099515974e-07
55,0.55,2.8209963099515974e-07
56,0.56,2.8209963099515974e-07
57,0.5700000000000001,2.8209963099515974e-07
58,0.58,2.8209963099515974e-07
59,0.59,2.8209963099515974e-07
60,0.6,2.8209963099515974e-07
61,0.61,2.8209963099515974e-07
62,0.62,2.8209963099515974e-07
63,0.63,2.8209963099515974e-07
64,0.64,2.8209963099515974e-07
65,0.65,2.8209963099515974e-07
66,0.66,2.8209963099515974e-07
67,0.67,2.8209963099515974e-07
68,0.68,2.8209963099515974e-07
69,0.6900000000000001,2.8209963099515974e-07
70,0.7000000000000001,2.8209963099515974e-07
71,0.71,2.8209963099515974e-07
72,0.72,2.8209963099515974e-07
73,0.73,2.8209963099515974e-07
74,0.74,2.8209963099515974e-07
75,0.75,2.8209963099515974e-07
76,0.76,2.8209963099515974e-07
77,0.77,2.8209963099515974e-07
78,0.78,2.8209963099515974e-07
79,0.79,2.8209963099515974e-07
80,0.8,2.8209963099515974e-07
81,0.81,2.8209963099515974e-07
82,0.8200000000000001,2.8209963099515974e-07
83,0.8300000000000001,2.8209963099515974e-07
84,0.84,2.8209963099515974e-07
85,0.85,2.8209963099515974e-07
86,0.86,2.8209963099515974e-07
87,0.87,2.8209963099515974e-07
88,0.88,2.8209963099515974e-07
89,0.89,2.8209963099515974e-07
90,0.9,2.8209963099515974e-07
91,0.91,2.8209963099515974e-07
92,0.92,2.8209963099515974e-07
93,0.93,2.8209963099515974e-07
94,0.9400000000000001,2.8209963099515974e-07
95,0.9500000000000001,2.8209963099515974e-07
96,0.96,2.8209963099515974e-07
97,0.97,2.8209963099515974e-07
98,0.98,2.8209963099515974e-07
99,0.99,2.8209963099515974e-07
100,1.0,2.8209963099515974e-07
