Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,arrived_at,prefill_arrived_at,scheduled_at,prefill_completed_at,decode_arrived_at,completed_at,preempted_time,decode_time,prefill_replica_id,decode_replica_id,pd_p2p_comm_size,pd_p2p_comm_time,pd_p2p_comm_bandwidth,pd_p2p_bytes_per_token,pd_p2p_comm_dtype,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,1.1520000000042607e-06,1.440000000005326e-07,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,0.0,0.0,1.1520000000000004e-06,1.4400000000000005e-07,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,1.2600000000046602e-07,0.01020060287274801,0.01020060287274801,0.01020060287274801,0.010200746872748011,inf,0.010201754872748015,0.0,1.0080000000037281e-06,,,inf,inf,0,,,,108,100,8,12.5,0
1,1.1520000000042607e-06,1.440000000005326e-07,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,0.0,0.0,1.1520000000000004e-06,1.4400000000000005e-07,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,1.2600000000046602e-07,0.0104538912631754,0.0104538912631754,0.0104538912631754,0.0104540352631754,inf,0.010455043263175404,0.0,1.0080000000037281e-06,,,inf,inf,0,,,0.00025328839042738915,108,100,8,12.5,0
2,1.1520000000042607e-06,1.440000000005326e-07,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,0.0,0.0,1.1520000000000004e-06,1.4400000000000005e-07,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,1.2600000000046602e-07,0.013670131903925055,0.013670131903925055,0.013670131903925055,0.013670275903925055,inf,0.01367128390392506,0.0,1.0080000000037281e-06,,,inf,inf,0,,,0.003216240640749655,108,100,8,12.5,0
3,1.1520000000042607e-06,1.440000000005326e-07,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,0.0,0.0,1.1520000000000004e-06,1.4400000000000005e-07,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,1.2600000000046602e-07,0.01619599376062619,0.01619599376062619,0.01619599376062619,0.01619613776062619,inf,0.016197145760626194,0.0,1.0080000000037281e-06,,,inf,inf,0,,,0.0025258618567011344,108,100,8,12.5,0
