Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,arrived_at,prefill_arrived_at,scheduled_at,prefill_completed_at,decode_arrived_at,completed_at,preempted_time,decode_time,prefill_replica_id,decode_replica_id,pd_p2p_comm_size,pd_p2p_comm_time,pd_p2p_comm_bandwidth,pd_p2p_bytes_per_token,pd_p2p_comm_dtype,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.0008240462448730525,0.00010300578060913157,1.4639999999999997e-06,1.8299999999999996e-07,1.4639999999999997e-06,1.8299999999999996e-07,0.000822582244873046,0.0,0.0008240462448730459,0.00010300578060913074,1.830000000008214e-07,1.830000000008214e-07,1.830000000008214e-09,0.00010298290560913147,0.01020060287274801,0.01020060287274801,0.01020060287274801,0.010200785872748011,0.011023368117621057,0.011024649117621063,0.000822582244873046,0.0008238632448730517,0,2,88324096,0.0008225822448730468,107374182400.0,1,fp8,,108,100,8,12.5,0
1,0.0008240462448730525,0.00010300578060913157,1.4639999999999997e-06,1.8299999999999996e-07,1.4639999999999997e-06,1.8299999999999996e-07,0.000822582244873046,0.0,0.0008240462448730459,0.00010300578060913074,1.830000000008214e-07,1.830000000008214e-07,1.830000000008214e-09,0.00010298290560913147,0.0104538912631754,0.0104538912631754,0.0104538912631754,0.0104540742631754,0.011276656508048447,0.011277937508048452,0.000822582244873046,0.0008238632448730517,1,3,88324096,0.0008225822448730468,107374182400.0,1,fp8,0.00025328839042738915,108,100,8,12.5,0
2,0.0008240462448730543,0.00010300578060913178,1.4639999999999997e-06,1.8299999999999996e-07,1.4639999999999997e-06,1.8299999999999996e-07,0.0008225822448730477,0.0,0.0008240462448730477,0.00010300578060913096,1.830000000008214e-07,1.830000000008214e-07,1.830000000008214e-09,0.00010298290560913168,0.013670131903925055,0.013670131903925055,0.013670131903925055,0.013670314903925056,0.014492897148798103,0.01449417814879811,0.0008225822448730477,0.0008238632448730535,0,4,88324096,0.0008225822448730468,107374182400.0,1,fp8,0.003216240640749655,108,100,8,12.5,0
3,0.0008240462448730543,0.00010300578060913178,1.4639999999999997e-06,1.8299999999999996e-07,1.4639999999999997e-06,1.8299999999999996e-07,0.0008225822448730477,0.0,0.0008240462448730477,0.00010300578060913096,1.830000000008214e-07,1.830000000008214e-07,1.830000000008214e-09,0.00010298290560913168,0.01619599376062619,0.01619599376062619,0.01619599376062619,0.01619617676062619,0.017018759005499238,0.017020040005499244,0.0008225822448730477,0.0008238632448730535,1,5,88324096,0.0008225822448730468,107374182400.0,1,fp8,0.0025258618567011344,108,100,8,12.5,0
