,Request Id,decode_time,cdf
5,5,2.4125065429689285e-05,0.16666666666666666
0,0,2.412506542969102e-05,0.3333333333333333
1,1,2.412506542969102e-05,0.5
2,2,2.412506542969102e-05,0.6666666666666666
3,3,2.4125065429692755e-05,0.8333333333333334
4,4,2.4125065429692755e-05,1.0
