,Request Id,request_e2e_time_normalized,cdf
5,5,3.0336331787112272e-06,0.16666666666666666
0,0,3.033633178711444e-06,0.3333333333333333
1,1,3.033633178711444e-06,0.5
2,2,3.033633178711444e-06,0.6666666666666666
3,3,3.033633178711661e-06,0.8333333333333334
4,4,3.033633178711661e-06,1.0
