,Request Id,pd_p2p_comm_bandwidth,cdf
0,0,107374182400.0,0.16666666666666666
1,1,107374182400.0,0.3333333333333333
2,2,107374182400.0,0.5
3,3,107374182400.0,0.6666666666666666
4,4,107374182400.0,0.8333333333333334
5,5,107374182400.0,1.0
