,Request Id,pd_p2p_comm_size,cdf
0,0,2482176,0.16666666666666666
1,1,2482176,0.3333333333333333
2,2,2482176,0.5
3,3,2482176,0.6666666666666666
4,4,2482176,0.8333333333333334
5,5,2482176,1.0
