,Request Id,request_scheduling_delay,cdf
0,0,0.0,0.16666666666666666
1,1,0.0,0.3333333333333333
2,2,0.0,0.5
3,3,0.0,0.6666666666666666
4,4,0.0,0.8333333333333334
5,5,0.0,1.0
