,Request Id,pd_p2p_comm_time,cdf
0,0,2.31170654296875e-05,0.16666666666666666
1,1,2.31170654296875e-05,0.3333333333333333
2,2,2.31170654296875e-05,0.5
3,3,2.31170654296875e-05,0.6666666666666666
4,4,2.31170654296875e-05,0.8333333333333334
5,5,2.31170654296875e-05,1.0
