,cdf,batch_execution_time
0,0.0,1.4406435161149036e-07
1,0.01,1.4406435161149036e-07
2,0.02,1.4406435161149036e-07
3,0.03,1.4406435161149036e-07
4,0.04,1.4406435161149036e-07
5,0.05,1.4406435161149036e-07
6,0.06,1.4406435161149036e-07
7,0.07,1.4406435161149036e-07
8,0.08,1.4406435161149036e-07
9,0.09,1.4406435161149036e-07
10,0.1,1.4406435161149036e-07
11,0.11,1.4406435161149036e-07
12,0.12,1.4406435161149036e-07
13,0.13,1.4406435161149036e-07
14,0.14,1.4406435161149036e-07
15,0.15,1.4406435161149036e-07
16,0.16,1.4406435161149036e-07
17,0.17,1.4406435161149036e-07
18,0.18,1.4406435161149036e-07
19,0.19,1.4406435161149036e-07
20,0.2,1.4406435161149036e-07
21,0.21,1.4406435161149036e-07
22,0.22,1.4406435161149036e-07
23,0.23,1.4406435161149036e-07
24,0.24,1.4406435161149036e-07
25,0.25,1.4406435161149036e-07
26,0.26,1.4406435161149036e-07
27,0.27,1.4406435161149036e-07
28,0.28,1.4406435161149036e-07
29,0.29,1.4406435161149036e-07
30,0.3,1.4406435161149036e-07
31,0.31,1.4406435161149036e-07
32,0.32,1.4406435161149036e-07
33,0.33,1.4406435161149036e-07
34,0.34,1.4406435161149036e-07
35,0.35000000000000003,1.4406435161149036e-07
36,0.36,1.4406435161149036e-07
37,0.37,1.4406435161149036e-07
38,0.38,1.4406435161149036e-07
39,0.39,1.4406435161149036e-07
40,0.4,1.4406435161149036e-07
41,0.41000000000000003,1.4406435161149036e-07
42,0.42,1.4406435161149036e-07
43,0.43,1.4406435161149036e-07
44,0.44,1.4406435161149036e-07
45,0.45,1.4406435161149036e-07
46,0.46,1.4406435161149036e-07
47,0.47000000000000003,1.4406435161149036e-07
48,0.48,1.4406435161149036e-07
49,0.49,1.4406435161149036e-07
50,0.5,1.4406435161149036e-07
51,0.51,1.4406435161149036e-07
52,0.52,1.4406435161149036e-07
53,0.53,1.4406435161149036e-07
54,0.54,1.4406435161149036e-07
55,0.55,1.4406435161149036e-07
56,0.56,1.4406435161149036e-07
57,0.5700000000000001,1.4406435161149036e-07
58,0.58,1.4406435161149036e-07
59,0.59,1.4406435161149036e-07
60,0.6,1.4406435161149036e-07
61,0.61,1.4406435161149036e-07
62,0.62,1.4406435161149036e-07
63,0.63,1.4406435161149036e-07
64,0.64,1.4406435161149036e-07
65,0.65,1.4406435161149036e-07
66,0.66,1.4406435161149036e-07
67,0.67,1.4406435161149036e-07
68,0.68,1.4406435161149036e-07
69,0.6900000000000001,1.4406435161149036e-07
70,0.7000000000000001,1.4406435161149036e-07
71,0.71,1.4406435161149036e-07
72,0.72,1.4406435161149036e-07
73,0.73,1.4406435161149036e-07
74,0.74,1.4406435161149036e-07
75,0.75,1.4406435161149036e-07
76,0.76,1.4406435161149036e-07
77,0.77,1.4406435161149036e-07
78,0.78,1.4406435161149036e-07
79,0.79,1.4406435161149036e-07
80,0.8,1.4406435161149036e-07
81,0.81,1.4406435161149036e-07
82,0.8200000000000001,1.4406435161149036e-07
83,0.8300000000000001,1.4406435161149036e-07
84,0.84,1.4406435161149036e-07
85,0.85,1.4406435161149036e-07
86,0.86,1.4406435161149036e-07
87,0.87,1.4406435161149036e-07
88,0.88,1.4406435161149036e-07
89,0.89,1.4406435161149036e-07
90,0.9,1.4406435161149036e-07
91,0.91,1.4406435161149036e-07
92,0.92,1.4406435161149036e-07
93,0.93,1.4406435161149036e-07
94,0.9400000000000001,1.4406435161149036e-07
95,0.9500000000000001,1.4406435161149036e-07
96,0.96,1.4406435161149036e-07
97,0.97,1.4406435161149036e-07
98,0.98,1.4406435161149036e-07
99,0.99,1.4406435161149036e-07
100,1.0,1.4406435161149036e-07
