,Request Id,pd_p2p_bytes_per_token,cdf
0,0,1,0.16666666666666666
1,1,1,0.3333333333333333
2,2,1,0.5
3,3,1,0.6666666666666666
4,4,1,0.8333333333333334
5,5,1,1.0
