Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,arrived_at,prefill_arrived_at,scheduled_at,prefill_completed_at,decode_arrived_at,completed_at,preempted_time,decode_time,prefill_replica_id,decode_replica_id,pd_p2p_comm_size,pd_p2p_comm_time,pd_p2p_comm_bandwidth,pd_p2p_bytes_per_token,pd_p2p_comm_dtype,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,4.7526919799810094e-05,5.940864974976262e-06,2.2559999999999997e-06,2.8199999999999996e-07,2.2559999999999997e-06,2.8199999999999996e-07,4.527091979980406e-05,0.0,4.752691979980406e-05,5.940864974975508e-06,2.8200000000075387e-07,2.8200000000075387e-07,2.8200000000075387e-09,5.9056149749761675e-06,0.01020060287274801,0.01020060287274801,0.01020060287274801,0.010200884872748011,0.010246155792547815,0.01024812979254782,4.527091979980406e-05,4.724491979980934e-05,0,2,4860928,4.5270919799804686e-05,107374182400.0,1,fp8,,108,100,8,12.5,0
1,4.7526919799810094e-05,5.940864974976262e-06,2.2559999999999997e-06,2.8199999999999996e-07,2.2559999999999997e-06,2.8199999999999996e-07,4.527091979980406e-05,0.0,4.752691979980406e-05,5.940864974975508e-06,2.8200000000075387e-07,2.8200000000075387e-07,2.8200000000075387e-09,5.9056149749761675e-06,0.0104538912631754,0.0104538912631754,0.0104538912631754,0.0104541732631754,0.010499444182975205,0.01050141818297521,4.527091979980406e-05,4.724491979980934e-05,1,3,4860928,4.5270919799804686e-05,107374182400.0,1,fp8,0.00025328839042738915,108,100,8,12.5,0
2,4.7526919799810094e-05,5.940864974976262e-06,2.2559999999999997e-06,2.8199999999999996e-07,2.2559999999999997e-06,2.8199999999999996e-07,4.527091979980406e-05,0.0,4.752691979980406e-05,5.940864974975508e-06,2.8200000000075387e-07,2.8200000000075387e-07,2.8200000000075387e-09,5.9056149749761675e-06,0.013670131903925055,0.013670131903925055,0.013670131903925055,0.013670413903925056,0.01371568482372486,0.013717658823724865,4.527091979980406e-05,4.724491979980934e-05,0,4,4860928,4.5270919799804686e-05,107374182400.0,1,fp8,0.003216240640749655,108,100,8,12.5,0
3,4.752691979981183e-05,5.940864974976479e-06,2.2559999999999997e-06,2.8199999999999996e-07,2.2559999999999997e-06,2.8199999999999996e-07,4.52709197998058e-05,0.0,4.75269197998058e-05,5.940864974975725e-06,2.8200000000075387e-07,2.8200000000075387e-07,2.8200000000075387e-09,5.905614974976384e-06,0.01619599376062619,0.01619599376062619,0.01619599376062619,0.01619627576062619,0.016241546680425996,0.016243520680426,4.52709197998058e-05,4.7244919799811075e-05,1,5,4860928,4.5270919799804686e-05,107374182400.0,1,fp8,0.0025258618567011344,108,100,8,12.5,0
