Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,arrived_at,prefill_arrived_at,scheduled_at,prefill_completed_at,decode_arrived_at,completed_at,preempted_time,decode_time,prefill_replica_id,decode_replica_id,pd_p2p_comm_size,pd_p2p_comm_time,pd_p2p_comm_bandwidth,pd_p2p_bytes_per_token,pd_p2p_comm_dtype,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,2.4269065429691553e-05,3.033633178711444e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429687292e-05,0.0,2.4269065429687294e-05,3.0336331787109117e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787113775e-06,0.01020060287274801,0.01020060287274801,0.01020060287274801,0.010200746872748011,0.010223863938177698,0.010224871938177702,2.3117065429687292e-05,2.412506542969102e-05,0,2,2482176,2.31170654296875e-05,107374182400.0,1,fp8,,108,100,8,12.5,0
1,2.4269065429691553e-05,3.033633178711444e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429687292e-05,0.0,2.4269065429687294e-05,3.0336331787109117e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787113775e-06,0.0104538912631754,0.0104538912631754,0.0104538912631754,0.0104540352631754,0.010477152328605088,0.010478160328605091,2.3117065429687292e-05,2.412506542969102e-05,1,3,2482176,2.31170654296875e-05,107374182400.0,1,fp8,0.00025328839042738915,108,100,8,12.5,0
2,2.4269065429691553e-05,3.033633178711444e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429687292e-05,0.0,2.4269065429687294e-05,3.0336331787109117e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787113775e-06,0.013670131903925055,0.013670131903925055,0.013670131903925055,0.013670275903925055,0.013693392969354743,0.013694400969354746,2.3117065429687292e-05,2.412506542969102e-05,0,4,2482176,2.31170654296875e-05,107374182400.0,1,fp8,0.003216240640749655,108,100,8,12.5,0
3,2.4269065429693287e-05,3.033633178711661e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429689027e-05,0.0,2.426906542968903e-05,3.0336331787111286e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787115943e-06,0.01619599376062619,0.01619599376062619,0.01619599376062619,0.01619613776062619,0.01621925482605588,0.016220262826055883,2.3117065429689027e-05,2.4125065429692755e-05,1,5,2482176,2.31170654296875e-05,107374182400.0,1,fp8,0.0025258618567011344,108,100,8,12.5,0
4,2.4269065429693287e-05,3.033633178711661e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429689027e-05,0.0,2.426906542968903e-05,3.0336331787111286e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787115943e-06,0.02953192048870702,0.02953192048870702,0.02953192048870702,0.02953206448870702,0.02955518155413671,0.029556189554136712,2.3117065429689027e-05,2.4125065429692755e-05,0,6,2482176,2.31170654296875e-05,107374182400.0,1,fp8,0.01333592672808083,108,100,8,12.5,0
5,2.4269065429689818e-05,3.0336331787112272e-06,1.1520000000000004e-06,1.4400000000000005e-07,1.1520000000000004e-06,1.4400000000000005e-07,2.3117065429685557e-05,0.0,2.426906542968556e-05,3.033633178710695e-06,1.440000000005326e-07,1.440000000005326e-07,1.440000000005326e-09,3.0156331787111607e-06,0.040823650576692946,0.040823650576692946,0.040823650576692946,0.04082379457669295,0.04084691164212263,0.040847919642122636,2.3117065429685557e-05,2.4125065429689285e-05,1,7,2482176,2.31170654296875e-05,107374182400.0,1,fp8,0.011291730087985927,108,100,8,12.5,0
